Execucao nº: 66, Valor Poisson: 1, Tempo processamento: 3ms, Resultado funcao: processing completed.
Execucao nº: 67, Valor Poisson: 4, Tempo processamento: 2ms, Resultado funcao: processing completed.
Execucao nº: 68, Valor Poisson: 1, Tempo processamento: 4ms, Resultado funcao: processing completed.
Execucao nº: 69, Valor Poisson: 59, Tempo processamento: 2ms, Resultado funcao: processing completed.
Execucao nº: 70, Valor Poisson: 59, Tempo processamento: 2ms, Resultado funcao: processing completed.
Execucao nº: 71, Valor Poisson: 2, Tempo processamento: 4ms, Resultado funcao: processing completed.
Execucao nº: 72, Valor Poisson: 2, Tempo processamento: 3ms, Resultado funcao: processing completed.
Execucao nº: 73, Valor Poisson: 2, Tempo processamento: 2ms, Resultado funcao: processing completed.
Execucao nº: 74, Valor Poisson: 3, Tempo processamento: 4ms, Resultado funcao: processing completed.
Execucao nº: 75, Valor Poisson: 3, Tempo processamento: 3ms, Resultado funcao: processing completed.
Execucao nº: 76, Valor Poisson: 1, Tempo processamento: 2ms, Resultado funcao: processing completed.
Execucao nº: 77, Valor Poisson: 3, Tempo processamento: 3ms, Resultado funcao: processing completed.
Execucao nº: 78, Valor Poisson: 1, Tempo processamento: 2ms, Resultado funcao: processing completed.
Execucao nº: 79, Valor Poisson: 1, Tempo processamento: 2ms, Resultado funcao: processing completed.
Execucao nº: 80, Valor Poisson: 2, Tempo processamento: 2ms, Resultado funcao: processing completed.
Execucao nº: 81, Valor Poisson: 59, Tempo processamento: 2ms, Resultado funcao: processing completed.
Execucao nº: 82, Valor Poisson: 1, Tempo processamento: 2ms, Resultado funcao: processing completed.
Execucao nº: 83, Valor Poisson: 3, Tempo processamento: 3ms, Resultado funcao: processing completed.
Execucao nº: 84, Valor Poisson: 2, Tempo processamento: 4ms, Resultado funcao: processing completed.
Execucao nº: 85, Valor Poisson: 4, Tempo processamento: 5ms, Resultado funcao: processing completed.
Execucao nº: 86, Valor Poisson: 2, Tempo processamento: 3ms, Resultado funcao: processing completed.
Execucao nº: 87, Valor Poisson: 59, Tempo processamento: 3ms, Resultado funcao: processing completed.
Execucao nº: 88, Valor Poisson: 3, Tempo processamento: 3ms, Resultado funcao: processing completed.
Execucao nº: 89, Valor Poisson: 1, Tempo processamento: 5ms, Resultado funcao: processing completed.
